[ 2025-12-24 12:26:48,772 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-24 12:27:00,992 ] 63 root - INFO - Performed train test split on the dataframe
[ 2025-12-24 12:27:00,993 ] 65 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-24 12:27:00,994 ] 73 root - INFO - Exporting train and test file path.
[ 2025-12-24 12:27:01,286 ] 82 root - INFO - Exported train and test file path.
[ 2025-12-24 12:27:01,291 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-24 12:27:01,351 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-24 12:27:01,712 ] 34 root - INFO - Required number of columns:2
[ 2025-12-24 12:27:01,731 ] 35 root - INFO - Data frame has columns:31
[ 2025-12-24 12:27:01,732 ] 34 root - INFO - Required number of columns:2
[ 2025-12-24 12:27:01,732 ] 35 root - INFO - Data frame has columns:31
[ 2025-12-24 12:27:02,449 ] 28 root - INFO - data Validation Completed
[ 2025-12-24 12:27:02,449 ] 31 root - INFO - data Transformation started
[ 2025-12-24 12:27:02,450 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-24 12:27:02,450 ] 65 root - INFO - Starting data transformation
[ 2025-12-24 12:27:02,531 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-24 12:27:02,531 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-24 12:27:02,585 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 12:27:02,595 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 12:27:02,596 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 12:27:02,605 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 12:27:02,608 ] 35 root - INFO - data Transformation completed
[ 2025-12-24 12:27:02,608 ] 37 root - INFO - Model Training sstared
[ 2025-12-24 12:27:02,609 ] 39 root - INFO - Model Training config complete
[ 2025-12-24 12:38:01,114 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 12:38:01,117 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 12:38:01,117 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 12:38:01,183 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 12:38:01,183 ] 140 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\12_24_2025_12_26_40\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911080027974822, precision_score=0.9892301555644196, recall_score=0.992992992992993), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.976027397260274, precision_score=0.9710391822827938, recall_score=0.9810671256454389))
[ 2025-12-24 12:38:01,183 ] 43 root - INFO - Model Training artifact created
